ch1,ch2,ch3,ch4,ch5,ch6
568,583,598,595,592,594
568,583,598,595,592,594
579,594,579,582,598,594
579,594,579,582,598,594
579,594,579,582,598,594
579,591,594,593,602,582
579,591,594,593,602,582
579,591,594,593,602,582
589,583,592,591,589,587
589,583,592,591,589,587
589,583,592,591,589,587
591,591,579,581,593,591
591,591,579,581,593,591
599,579,573,595,599,579
599,579,573,595,599,579
599,579,573,595,599,579
599,579,573,595,599,579
591,590,583,572,591,588
591,590,583,572,591,588
578,583,602,581,594,591
578,583,602,581,594,591
583,579,591,594,598,588
583,579,591,594,598,588
583,579,591,594,598,588
579,583,597,585,598,595
579,583,597,585,598,595
579,583,597,585,598,595
582,590,591,582,595,581
582,590,591,582,595,581
582,590,591,582,595,581
585,579,585,598,596,583
585,579,585,598,596,583
593,591,582,580,595,593
593,591,582,580,595,593
593,591,582,580,595,593
598,595,588,593,585,588
598,595,588,593,585,588
598,595,588,593,585,588
583,583,589,594,595,591
583,583,589,594,595,591
583,583,589,594,595,591
583,581,597,589,590,591
583,581,597,589,590,591
579,590,595,591,581,590
579,590,595,591,581,590
579,590,595,591,581,590
583,582,593,583,593,591
583,582,593,583,593,591
583,582,593,583,593,591
585,595,592,581,600,591
585,595,592,581,600,591
588,587,583,587,600,594
588,587,583,587,600,594
588,587,583,587,600,594
593,597,580,580,600,596
593,597,580,580,600,596
593,597,580,580,600,596
591,575,587,595,599,587
591,575,587,595,599,587
591,575,587,595,599,587
586,602,590,583,587,585
586,602,590,583,587,585
586,602,590,583,587,585
579,579,585,580,593,593
579,579,585,580,593,593
579,579,585,580,593,593
578,591,588,587,588,587
578,591,588,587,588,587
583,591,589,578,595,596
583,591,589,578,595,596
583,591,589,578,595,596
589,587,600,593,593,593
589,587,600,593,593,593
589,587,600,593,593,593
598,595,588,585,579,587
598,595,588,585,579,587
569,583,595,590,585,583
569,583,595,590,585,583
569,583,595,590,585,583
589,586,587,588,589,590
589,586,587,588,589,590
590,595,587,583,601,585
590,595,587,583,601,585
590,595,587,583,601,585
575,583,589,588,599,590
575,583,589,588,599,590
575,583,589,588,599,590
581,591,600,588,593,589
581,591,600,588,593,589
589,587,593,588,593,583
589,587,593,588,593,583
589,587,593,588,593,583
596,583,583,590,599,591
596,583,583,590,599,591
596,583,583,590,599,591
593,595,583,589,591,585
593,595,583,589,591,585
593,595,583,589,591,585
590,595,582,598,593,596
590,595,582,598,593,596
581,597,585,587,595,587
581,597,585,587,595,587
581,597,585,587,595,587
583,575,583,578,593,580
583,575,583,578,593,580
583,575,583,578,593,580
582,587,592,591,587,589
582,587,592,591,587,589
582,587,592,591,587,589
579,583,574,585,601,587
579,583,574,585,601,587
593,583,585,589,592,581
593,583,585,589,592,581
593,583,585,589,592,581
592,585,593,587,595,595
592,585,593,587,595,595
592,585,593,587,595,595
588,587,588,579,594,594
588,587,588,579,594,594
589,583,591,575,590,595
589,583,591,575,590,595
589,583,591,575,590,595
581,570,583,588,600,593
581,570,583,588,600,593
581,570,583,588,600,593
579,577,579,593,595,574
579,577,579,593,595,574
579,577,579,593,595,574
582,597,598,579,583,594
582,597,598,579,583,594
590,588,589,595,603,600
590,588,589,595,603,600
590,588,589,595,603,600
598,595,595,578,583,593
598,595,595,578,583,593
598,595,595,578,583,593
593,588,581,579,595,593
593,588,581,579,595,593
593,588,581,579,595,593
587,595,585,591,595,583
587,595,585,591,595,583
582,588,585,589,598,591
582,588,585,589,598,591
582,588,585,589,598,591
582,587,599,591,591,594
582,587,599,591,591,594
582,587,599,591,591,594
583,583,591,587,585,579
583,583,591,587,585,579
589,590,599,581,603,591
589,590,599,581,603,591
589,590,599,581,603,591
590,582,590,596,599,583
590,582,590,596,599,583
590,582,590,596,599,583
597,585,601,599,589,577
597,585,601,599,589,577
597,585,601,599,589,577
596,597,589,578,590,588
596,597,589,578,590,588
579,586,583,587,594,596
579,586,583,587,594,596
579,586,583,587,594,596
578,595,599,592,602,594
578,595,599,592,602,594
578,595,599,592,602,594
578,588,587,586,596,591
578,588,587,586,596,591
579,588,597,594,589,586
579,588,597,594,589,586
579,588,597,594,589,586
599,587,582,579,587,599
599,587,582,579,587,599
599,587,582,579,587,599
597,591,595,595,595,586
597,591,595,595,595,586
597,591,595,595,595,586
591,565,589,595,597,601
591,565,589,595,597,601
588,579,603,583,587,589
588,579,603,583,587,589
588,579,603,583,587,589
575,585,603,588,588,588
575,585,603,588,588,588
575,585,603,588,588,588
579,588,593,590,585,585
579,588,593,590,585,585
579,588,593,590,585,585
579,580,588,580,597,589
579,580,588,580,597,589
579,580,588,580,597,589
586,577,582,583,596,596
586,577,582,583,596,596
598,574,589,583,590,590
598,574,589,583,590,590
598,574,589,583,590,590
587,574,588,592,594,590
587,574,588,592,594,590
587,574,588,592,594,590
593,586,593,588,601,584
593,586,593,588,601,584
578,594,599,588,592,585
578,594,599,588,592,585
578,594,599,588,592,585
577,590,591,590,597,583
577,590,591,590,597,583
577,590,591,590,597,583
581,583,583,588,600,590
581,583,583,588,600,590
581,583,583,588,600,590
584,590,598,594,602,585
584,590,598,594,602,585
596,589,591,583,587,588
596,589,591,583,587,588
596,589,591,583,587,588
596,579,600,597,595,580
596,579,600,597,595,580
596,579,600,597,595,580
591,579,578,579,594,591
591,579,578,579,594,591
583,579,575,593,583,584
583,579,575,593,583,584
583,579,575,593,583,584
579,582,591,586,591,596
579,582,591,586,591,596
579,582,591,586,591,596
575,591,592,583,598,591
575,591,592,583,598,591
575,591,592,583,598,591
581,586,588,593,601,588
581,586,588,593,601,588
592,585,587,587,582,585
592,585,587,587,582,585
592,585,587,587,582,585
600,584,575,592,598,594
600,584,575,592,598,594
600,584,575,592,598,594
595,583,591,591,591,588
595,583,591,591,591,588
589,586,587,579,593,588
589,586,587,579,593,588
589,586,587,579,593,588
571,594,604,583,590,591
571,594,604,583,590,591
571,594,604,583,590,591
575,595,594,588,587,582
575,595,594,588,587,582
575,595,594,588,587,582
580,589,583,589,600,595
580,589,583,589,600,595
589,589,587,582,594,590
589,589,587,582,594,590
589,589,587,582,594,590
600,591,590,595,594,585
600,591,590,595,594,585
600,591,590,595,594,585
593,583,583,591,601,587
593,583,583,591,601,587
593,583,583,591,601,587
588,583,596,589,598,582
588,583,596,589,598,582
582,595,593,590,588,588
