ch1,ch2,ch3,ch4,ch5,ch6
580,594,591,591,585,588
580,594,591,591,585,588
591,589,591,591,595,588
591,589,591,591,595,588
591,589,591,591,595,588
579,582,598,587,593,583
579,582,598,587,593,583
579,582,598,587,593,583
571,579,583,586,595,594
571,579,583,586,595,594
585,580,590,592,595,593
585,580,590,592,595,593
585,580,590,592,595,593
578,586,585,585,589,589
578,586,585,585,589,589
578,586,585,585,589,589
582,590,582,591,589,574
582,590,582,591,589,574
583,595,585,583,593,588
595,596,589,581,585,590
595,596,589,581,585,590
583,595,589,595,594,591
583,595,589,595,594,591
583,595,589,595,594,591
583,595,589,595,594,591
587,585,583,579,595,593
587,585,583,579,595,593
583,577,591,583,595,594
583,577,591,583,595,594
579,578,589,583,587,585
579,578,589,583,587,585
579,578,589,583,587,585
586,579,579,580,595,590
586,579,579,580,595,590
586,579,579,580,595,590
580,592,583,594,595,577
580,592,583,594,595,577
580,592,583,594,595,577
585,595,590,594,592,594
585,595,590,594,592,594
575,595,597,587,587,587
575,595,597,587,587,587
575,595,597,587,587,587
581,587,587,582,595,591
581,587,587,582,595,591
581,587,587,582,595,591
577,588,579,587,595,596
577,588,579,587,595,596
582,579,595,578,599,583
588,578,587,583,591,594
588,578,587,583,591,594
579,579,596,588,593,590
579,579,596,588,593,590
579,579,596,588,593,590
585,588,589,594,600,591
585,588,589,594,600,591
585,588,589,594,600,591
580,595,587,588,589,590
580,595,587,588,589,590
575,595,586,591,601,583
575,595,586,591,601,583
575,595,586,591,601,583
574,591,578,586,589,587
574,591,578,586,589,587
574,591,578,586,589,587
579,583,597,586,591,593
579,583,597,586,591,593
579,583,597,586,591,593
581,578,585,583,585,585
581,578,585,583,585,585
581,578,585,583,585,585
590,575,582,591,589,583
590,575,582,591,589,583
588,590,583,590,593,588
588,590,583,590,593,588
588,590,583,590,593,588
579,596,580,587,591,594
579,596,580,587,591,594
579,596,580,587,591,594
591,594,592,595,598,595
591,594,592,595,598,595
591,594,592,595,598,595
587,590,591,589,595,580
587,590,591,589,595,580
592,589,580,588,589,593
592,589,580,588,589,593
592,589,580,588,589,593
583,578,583,591,600,584
583,578,583,591,600,584
583,578,583,591,600,584
579,581,588,585,591,594
579,581,588,585,591,594
572,583,599,594,593,579
572,583,599,594,593,579
572,583,599,594,593,579
578,591,591,591,601,589
578,591,591,591,601,589
578,591,591,591,601,589
590,592,586,586,588,588
590,592,586,586,588,588
590,592,586,586,588,588
575,595,583,587,586,591
575,595,583,587,586,591
593,590,588,588,594,593
593,590,588,588,594,593
593,590,588,588,594,593
583,586,577,583,586,593
583,586,577,583,586,593
583,586,577,583,586,593
591,582,589,591,604,589
591,582,589,591,604,589
591,582,589,591,604,589
588,577,598,590,595,585
588,577,598,590,595,585
585,585,593,586,587,588
585,585,593,586,587,588
585,585,593,586,587,588
573,595,590,589,600,594
573,595,590,589,600,594
573,595,590,589,600,594
583,593,598,590,589,582
583,593,598,590,589,582
577,591,597,589,595,587
577,591,597,589,595,587
577,591,597,589,595,587
578,580,588,595,600,594
578,580,588,595,600,594
578,580,588,595,600,594
578,580,588,595,600,594
583,574,589,591,601,595
583,574,589,591,601,595
583,579,584,588,591,595
583,579,584,588,591,595
579,587,595,582,591,583
579,587,595,582,591,583
579,587,595,582,591,583
587,595,585,584,595,580
587,595,585,584,595,580
587,595,585,584,595,580
583,588,591,584,590,583
583,588,591,584,590,583
583,588,591,584,590,583
595,595,588,593,599,599
595,595,588,593,599,599
579,585,591,588,593,583
579,585,591,588,593,583
579,585,591,588,593,583
591,578,579,587,591,588
591,578,579,587,591,588
591,578,579,587,591,588
579,579,583,581,585,583
579,579,583,581,585,583
583,583,602,585,600,588
583,583,602,585,600,588
583,583,602,585,600,588
577,591,588,578,594,589
577,591,588,578,594,589
577,591,588,578,594,589
585,592,592,575,591,588
585,592,592,575,591,588
585,592,592,575,591,588
588,595,591,590,607,588
588,595,591,590,607,588
581,591,591,585,597,594
581,591,591,585,597,594
